Cycle: 10  CDAN-c206_X	Cycle: 10  CDAN-c206_Y	Fitted Cycle: 10  CDAN-c206_X	Fitted Cycle: 10  CDAN-c206_Y
-24.82	-0.123535	-24.82	-1.241
-24.72	-0.11377	-24.72	-1.236
-24.62	-0.11377	-24.62	-1.231
-24.52	-0.11377	-24.52	-1.226
-24.42	-0.104004	-24.42	-1.221
-24.32	-0.104004	-24.32	-1.216
-24.22	-0.111816	-24.22	-1.211
-24.12	-0.104004	-24.12	-1.206
-24.02	-0.104004	-24.02	-1.201
-23.92	-0.0942383	-23.92	-1.196
-23.82	-0.0942383	-23.82	-1.191
-23.72	-0.0942383	-23.72	-1.186
-23.62	-0.0942383	-23.62	-1.181
-23.52	-0.0844727	-23.52	-1.176
-23.42	-0.0844727	-23.42	-1.171
-23.32	-0.0844727	-23.32	-1.166
-23.22	-0.0825195	-23.22	-1.161
-23.12	-0.0844727	-23.12	-1.156
-23.02	-0.0844727	-23.02	-1.151
-22.92	-0.074707	-22.92	-1.146
-22.82	-0.0825195	-22.82	-1.141
-22.72	-0.0844727	-22.72	-1.136
-22.62	-0.0844727	-22.62	-1.131
-22.52	-0.074707	-22.52	-1.126
-22.42	-0.0825195	-22.42	-1.121
-22.32	-0.0844727	-22.32	-1.116
-22.22	-0.0727539	-22.22	-1.111
-22.12	-0.0727539	-22.12	-1.106
-22.02	-0.0727539	-22.02	-1.101
-21.92	-0.0708008	-21.92	-1.096
-21.82	-0.0727539	-21.82	-1.091
-21.72	-0.0727539	-21.72	-1.086
-21.62	-0.0805664	-21.62	-1.081
-21.52	-0.0727539	-21.52	-1.076
-21.42	-0.0727539	-21.42	-1.071
-21.32	-0.0805664	-21.32	-1.066
-21.22	-0.0727539	-21.22	-1.061
-21.12	-0.0727539	-21.12	-1.056
-21.02	-0.0727539	-21.02	-1.051
-20.92	-0.0722656	-20.92	-1.046
-20.82	-0.074707	-20.82	-1.041
-20.72	-0.074707	-20.72	-1.036
-20.62	-0.0825195	-20.62	-1.031
-20.52	-0.074707	-20.52	-1.026
-20.42	-0.074707	-20.42	-1.021
-20.32	-0.0825195	-20.32	-1.016
-20.22	-0.074707	-20.22	-1.011
-20.12	-0.074707	-20.12	-1.006
-20.02	-0.0825195	-20.02	-1.001
-19.92	-0.074707	-19.92	-0.996
-19.82	-0.074707	-19.82	-0.991
-19.72	-0.0708008	-19.72	-0.986
-19.62	-0.0727539	-19.62	-0.981
-19.52	-0.0727539	-19.52	-0.976
-19.42	-0.0708008	-19.42	-0.971
-19.32	-0.0727539	-19.32	-0.966
-19.22	-0.0727539	-19.22	-0.961
-19.12	-0.0727539	-19.12	-0.956
-19.02	-0.0708008	-19.02	-0.951
-18.92	-0.0727539	-18.92	-0.946
-18.82	-0.0727539	-18.82	-0.941
-18.72	-0.0629883	-18.72	-0.936
-18.62	-0.0708008	-18.62	-0.931
-18.52	-0.0727539	-18.52	-0.926
-18.42	-0.0722656	-18.42	-0.921
-18.32	-0.074707	-18.32	-0.916
-18.22	-0.074707	-18.22	-0.911
-18.12	-0.0649414	-18.12	-0.906
-18.02	-0.0727539	-18.02	-0.901
-17.92	-0.074707	-17.92	-0.896
-17.82	-0.0649414	-17.82	-0.891
-17.72	-0.0727539	-17.72	-0.886
-17.62	-0.074707	-17.62	-0.881
-17.52	-0.0727539	-17.52	-0.876
-17.42	-0.074707	-17.42	-0.871
-17.32	-0.074707	-17.32	-0.866
-17.22	-0.0708008	-17.22	-0.861
-17.12	-0.0727539	-17.12	-0.856
-17.02	-0.0727539	-17.02	-0.851
-16.92	-0.0708008	-16.92	-0.846
-16.82	-0.0727539	-16.82	-0.841
-16.72	-0.0727539	-16.72	-0.836
-16.62	-0.0805664	-16.62	-0.831
-16.52	-0.0727539	-16.52	-0.826
-16.42	-0.0727539	-16.42	-0.821
-16.32	-0.0727539	-16.32	-0.816
-16.22	-0.0708008	-16.22	-0.811
-16.12	-0.0727539	-16.12	-0.806
-16.02	-0.0727539	-16.02	-0.801
-15.92	-0.0629883	-15.92	-0.796
-15.82	-0.0722656	-15.82	-0.791
-15.72	-0.074707	-15.72	-0.786
-15.62	-0.0649414	-15.62	-0.781
-15.52	-0.0649414	-15.52	-0.776
-15.42	-0.0649414	-15.42	-0.771
