Cycle: 5  C15R26E_X	Cycle: 5  C15R26E_Y	Fitted Cycle: 5  C15R26E_X	Fitted Cycle: 5  C15R26E_Y
-2.66	-0.127441	-2.66	0.0460713
-2.56001	-0.126709	-2.56001	0.0443393
-2.46001	-0.135254	-2.46001	0.0426073
-2.36	-0.13916	-2.36	0.0408753
-2.26001	-0.144287	-2.26001	0.0391433
-2.16	-0.151611	-2.16	0.0374113
-2.06001	-0.164551	-2.06001	0.0356793
-1.96001	-0.203613	-1.96001	0.0339473
-1.86	-0.236084	-1.86	0.0322153
-1.76001	-0.258301	-1.76001	0.0304833
-1.66	-0.267334	-1.66	0.0287513
-1.56001	-0.288818	-1.56001	0.0270193
-1.46001	-0.304443	-1.46001	0.0252873
-1.36	-0.329834	-1.36	0.0235553
-1.26001	-0.366943	-1.26001	0.0218233
-1.16	-0.380615	-1.16	0.0200913
-1.06001	-0.389648	-1.06001	0.0183593
-0.960007	-0.386475	-0.960007	0.0166273
-0.860004	-0.374023	-0.860004	0.0148953
-0.760006	-0.372803	-0.760006	0.0131633
-0.660004	-0.381836	-0.660004	0.0114313
-0.560005	-0.385742	-0.560005	9.69929e-3
-0.460007	-0.323975	-0.460007	7.96732e-3
-0.360004	-0.275146	-0.360004	6.23528e-3
-0.260006	-0.291504	-0.260006	4.5033e-3
-0.160004	-0.32666	-0.160004	2.77126e-3
-0.0600052	-0.454102	-0.0600052	1.03929e-3
0.0399933	-0.486572	0.0399933	-1.56069
0.139992	-1.19116	0.139992	-1.55681
0.239998	-1.43018	0.239998	-1.55293
0.339996	-0.947021	0.339996	-1.54905
0.439995	-0.24707	0.439995	-1.54518
0.539993	0.295654	0.539993	-1.5413
0.639992	0.619385	0.639992	-1.53743
0.739998	0.782959	0.739998	-1.53356
0.839996	0.998779	0.839996	-1.5297
0.939995	1.198	0.939995	-1.52583
1.03999	1.31982	1.03999	-1.52197
1.13999	1.39404	1.13999	-1.51811
1.24	1.46313	1.24	-1.51425
1.34	1.52368	1.34	-1.5104
1.43999	1.57178	1.43999	-1.50654
1.53999	1.57642	1.53999	-1.50269
1.63999	1.6272	1.63999	-1.49884
1.74	1.67407	1.74	-1.495
1.84	1.70337	1.84	-1.49115
1.93999	1.71313	1.93999	-1.48731
2.03999	1.72681	2.03999	-1.48347
2.13999	1.75098	2.13999	-1.47963
2.24	1.77173	2.24	-1.4758
2.34	1.78149	2.34	-1.47196
2.43999	1.78735	2.43999	-1.46813
2.53999	1.80176	2.53999	-1.46431
2.63999	1.81274	2.63999	-1.46048
2.74	1.81274	2.74	-1.45665
2.84	1.82642	2.84	-1.45283
2.93999	1.8291	2.93999	-1.44901
3.03999	1.83228	3.03999	-1.4452
3.13999	1.83228	3.13999	-1.44138
3.24	1.83228	3.24	-1.43757
3.34	1.84204	3.34	-1.43376
3.43999	1.84277	3.43999	-1.42995
3.53999	1.85181	3.53999	-1.42614
3.63999	1.85181	3.63999	-1.42234
3.74	1.86157	3.74	-1.41854
3.84	1.8623	3.84	-1.41474
3.93999	1.87329	3.93999	-1.41094
4.03999	1.86743	4.03999	-1.40714
4.13999	1.87134	4.13999	-1.40335
4.24	1.87207	4.24	-1.39956
4.34	1.88306	4.34	-1.39577
4.43999	1.89282	4.43999	-1.39199
4.53999	1.88892	4.53999	-1.3882
4.63999	1.89282	4.63999	-1.38442
4.74	1.89673	4.74	-1.38064
4.84	1.8916	4.84	-1.37686
4.93999	1.90259	4.93999	-1.37309
5.03999	1.89868	5.03999	-1.36931
5.13999	1.90259	5.13999	-1.36554
5.24	1.89673	5.24	-1.36178
5.34	1.90137	5.34	-1.35801
