Cycle: 8  CDAN1A-c206  39.0625 _X	Cycle: 8  CDAN1A-c206  39.0625 _Y	Cycle: 9  CDAN1A-c206  78.125 n_X	Cycle: 9  CDAN1A-c206  78.125 n_Y	Cycle: 10  CDAN1A-c206  156.25 _X	Cycle: 10  CDAN1A-c206  156.25 _Y	Cycle: 11  CDAN1A-c206  312.5 n_X	Cycle: 11  CDAN1A-c206  312.5 n_Y	Cycle: 12  CDAN1A-c206  625 nM_X	Cycle: 12  CDAN1A-c206  625 nM_Y
-47.52	-0.106323	-47.52	-0.0671234	-47.52	-0.0787277	-47.52	-0.0834503	-47.52	0.0151367
-47.42	-0.0965576	-47.42	-0.0554047	-47.42	-0.0693512	-47.42	-0.0834503	-47.42	0.0151367
-47.32	-0.0965576	-47.32	-0.0554047	-47.32	-0.067009	-47.32	-0.0658722	-47.32	0.0151367
-47.22	-0.0965576	-47.22	-0.0554047	-47.22	-0.067009	-47.22	-0.0639191	-47.22	0.0151367
-47.12	-0.0887451	-47.12	-0.0554047	-47.12	-0.0572433	-47.12	-0.0639191	-47.12	0.0151367
-47.02	-0.086792	-47.02	-0.0554047	-47.02	-0.0572437	-47.02	-0.0639191	-47.02	0.0229492
-46.92	-0.0965576	-46.92	-0.0651703	-46.92	-0.067009	-46.92	-0.0736847	-46.92	0.0151367
-46.82	-0.10437	-46.82	-0.0651703	-46.82	-0.067009	-46.82	-0.0736847	-46.82	0.0151367
-46.72	-0.0965576	-46.72	-0.0651703	-46.72	-0.067009	-46.72	-0.0658722	-46.72	0.0151367
-46.62	-0.0965576	-46.62	-0.0573578	-46.62	-0.067009	-46.62	-0.0639191	-46.62	0.0151367
-46.52	-0.0965576	-46.52	-0.0554047	-46.52	-0.067009	-46.52	-0.0541534	-46.52	0.0151367
-46.42	-0.0965576	-46.42	-0.0554047	-46.42	-0.0572433	-46.42	-0.0541534	-46.42	0.0151367
-46.32	-0.0965576	-46.32	-0.0554047	-46.32	-0.0572437	-46.32	-0.0541534	-46.32	0.0151367
-46.22	-0.106323	-46.22	-0.0651703	-46.22	-0.067009	-46.22	-0.0639191	-46.22	5.37109e-3
-46.12	-0.106323	-46.12	-0.0651703	-46.12	-0.067009	-46.12	-0.0639191	-46.12	5.37109e-3
-46.02	-0.0965576	-46.02	-0.0651703	-46.02	-0.067009	-46.02	-0.0639191	-46.02	5.37109e-3
-45.92	-0.0887451	-45.92	-0.0554047	-45.92	-0.067009	-45.92	-0.0639191	-45.92	0.0151367
-45.82	-0.086792	-45.82	-0.0554047	-45.82	-0.067009	-45.82	-0.0639191	-45.82	0.0151367
-45.72	-0.086792	-45.72	-0.0554047	-45.72	-0.0591972	-45.72	-0.0639191	-45.72	0.0151367
-45.62	-0.0965576	-45.62	-0.0651703	-45.62	-0.067009	-45.62	-0.0736847	-45.62	5.37109e-3
-45.52	-0.086792	-45.52	-0.0651703	-45.52	-0.067009	-45.52	-0.0736847	-45.52	5.37109e-3
-45.42	-0.086792	-45.42	-0.0651703	-45.42	-0.067009	-45.42	-0.0639191	-45.42	5.37109e-3
