Cycle: 9  C15A160F_X	Cycle: 9  C15A160F_Y	Fitted Cycle: 9  C15A160F_X	Fitted Cycle: 9  C15A160F_Y
1.84	1.89038	1.84	-7.8056
1.94	1.90015	1.94	-7.79739
2.04	1.89819	2.04	-7.78919
2.14	1.9126	2.14	-7.78098
2.24	1.92944	2.24	-7.77278
2.34	1.92944	2.34	-7.76458
2.44	1.91968	2.44	-7.75638
2.54	1.91968	2.54	-7.74818
2.64	1.91772	2.64	-7.73998
2.74	1.90405	2.74	-7.73179
2.84	1.9021	2.84	-7.72359
2.94	1.90869	2.94	-7.71539
3.04	1.89624	3.04	-7.7072
3.14	1.88257	3.14	-7.69901
3.24	1.88843	3.24	-7.69082
3.34	1.87866	3.34	-7.68263
3.44	1.8728	3.44	-7.67444
3.54	1.8689	3.54	-7.66625
3.64	1.85791	3.64	-7.65806
3.74	1.84937	3.74	-7.64987
3.84	1.8396	3.84	-7.64169
3.94	1.83374	3.94	-7.6335
4.04	1.83569	4.04	-7.62532
4.14	1.81812	4.14	-7.61714
