Cycle: 11  CDAN-1032A_X	Cycle: 11  CDAN-1032A_Y	Fitted Cycle: 11  CDAN-1032A_X	Fitted Cycle: 11  CDAN-1032A_Y
-12.72	0.057373	-12.72	-0.636
-12.62	0.0476074	-12.62	-0.631
-12.52	0.0476074	-12.52	-0.626
-12.42	0.0476074	-12.42	-0.621
-12.32	0.0300293	-12.32	-0.616
-12.22	0.0280762	-12.22	-0.611
-12.12	0.0183105	-12.12	-0.606
-12.02	0.0183105	-12.02	-0.601
-11.92	0.0183105	-11.92	-0.596
-11.82	8.54492e-3	-11.82	-0.591
-11.72	8.54492e-3	-11.72	-0.586
-11.62	-1.2207e-3	-11.62	-0.581
-11.52	-1.2207e-3	-11.52	-0.576
-11.42	-0.0129395	-11.42	-0.571
-11.32	-0.0129395	-11.32	-0.566
-11.22	-0.0129395	-11.22	-0.561
-11.12	-0.0148926	-11.12	-0.556
-11.02	-0.0129395	-11.02	-0.551
-10.92	-0.0227051	-10.92	-0.546
-10.82	-0.0227051	-10.82	-0.541
-10.72	-0.0148926	-10.72	-0.536
-10.62	-0.0227051	-10.62	-0.531
-10.52	-0.0227051	-10.52	-0.526
-10.42	-0.0227051	-10.42	-0.521
-10.32	-0.0324707	-10.32	-0.516
-10.22	-0.0324707	-10.22	-0.511
-10.12	-0.0246582	-10.12	-0.506
-10.02	-0.0324707	-10.02	-0.501
-9.92	-0.0324707	-9.92	-0.496
-9.82	-0.0324707	-9.82	-0.491
-9.72	-0.0422363	-9.72	-0.486
-9.62	-0.0422363	-9.62	-0.481
-9.52	-0.0422363	-9.52	-0.476
-9.42	-0.0441895	-9.42	-0.471
-9.32	-0.0422363	-9.32	-0.466
-9.22	-0.0422363	-9.22	-0.461
-9.12	-0.0637207	-9.12	-0.456
-9.02	-0.0734863	-9.02	-0.451
-8.92	-0.0837402	-8.92	-0.446
-8.82	-0.10083	-8.82	-0.441
-8.72	-0.114502	-8.72	-0.436
-8.62	-0.106689	-8.62	-0.431
-8.52	-0.0969238	-8.52	-0.426
-8.42	-0.0969238	-8.42	-0.421
-8.32	-0.0974121	-8.32	-0.416
-8.22	-0.0969238	-8.22	-0.411
-8.12	-0.0969238	-8.12	-0.406
-8.02	-0.0969238	-8.02	-0.401
-7.92	-0.095459	-7.92	-0.396
-7.82	-0.0852051	-7.82	-0.391
-7.72	-0.0793457	-7.72	-0.386
-7.62	-0.0681152	-7.62	-0.381
-7.52	-0.0656738	-7.52	-0.376
-7.42	-0.0559082	-7.42	-0.371
-7.32	-0.0578613	-7.32	-0.366
-7.22	-0.064209	-7.22	-0.361
-7.12	-0.0656738	-7.12	-0.356
-7.02	-0.0656738	-7.02	-0.351
-6.92	-0.0578613	-6.92	-0.346
-6.82	-0.0563965	-6.82	-0.341
-6.72	-0.0559082	-6.72	-0.336
-6.62	-0.0559082	-6.62	-0.331
-6.52	-0.0461426	-6.52	-0.326
-6.42	-0.0466309	-6.42	-0.321
-6.32	-0.0461426	-6.32	-0.316
-6.22	-0.0461426	-6.22	-0.311
-6.12	-0.0480957	-6.12	-0.306
-6.02	-0.0466309	-6.02	-0.301
-5.92	-0.0285645	-5.92	-0.296
-5.82	-0.0266113	-5.82	-0.291
-5.72	-0.036377	-5.72	-0.286
-5.62	-0.0251465	-5.62	-0.281
-5.52	-0.036377	-5.52	-0.276
-5.42	-9.0332e-3	-5.42	-0.271
-5.32	0.0236816	-5.32	-0.266
-5.22	0.0515137	-5.22	-0.261
-5.12	0.119873	-5.12	-0.256
-5.02	0.189697	-5.02	-0.251
-4.92	0.256592	-4.92	-0.246
-4.82	0.330322	-4.82	-0.241
-4.72	0.365967	-4.72	-0.236
-4.62	0.395264	-4.62	-0.231
-4.52	0.424561	-4.52	-0.226
-4.42	0.447998	-4.42	-0.221
-4.32	0.457764	-4.32	-0.216
-4.22	0.457764	-4.22	-0.211
-4.12	0.449951	-4.12	-0.206
-4.02	0.442139	-4.02	-0.201
-3.92	0.424561	-3.92	-0.196
-3.82	0.41333	-3.82	-0.191
-3.72	0.393311	-3.72	-0.186
-3.62	0.364502	-3.62	-0.181
-3.52	0.33667	-3.52	-0.176
-3.42	0.298096	-3.42	-0.171
-3.32	0.276123	-3.32	-0.166
-3.22	0.247314	-3.22	-0.161
-3.12	0.227295	-3.12	-0.156
-3.02	0.196533	-3.02	-0.151
-2.92	0.178467	-2.92	-0.146
-2.82	0.157471	-2.82	-0.141
-2.72	0.147705	-2.72	-0.136
-2.62	0.147217	-2.62	-0.131
-2.52	0.147705	-2.52	-0.126
-2.42	0.118408	-2.42	-0.121
-2.32	0.052002	-2.32	-0.116
-2.22	-0.0241699	-2.22	-0.111
-2.12	-0.108643	-2.12	-0.106
-2.02	-0.221191	-2.02	-0.101
-1.92	-0.31958	-1.92	-0.0959999
-1.82	-0.393311	-1.82	-0.091
