Cycle: 14  CDAN-D1043K_X	Cycle: 14  CDAN-D1043K_Y	Fitted Cycle: 14  CDAN-D1043K_X	Fitted Cycle: 14  CDAN-D1043K_Y
2.58	1.36035	2.58	-8.5689
2.68	1.36279	2.68	-8.55358
2.78	1.38037	2.78	-8.53826
2.88	1.38965	2.88	-8.52294
2.98	1.3999	2.98	-8.50762
3.08	1.4209	3.08	-8.49231
3.18	1.43115	3.18	-8.47699
3.28	1.44092	3.28	-8.46167
3.38	1.45996	3.38	-8.44635
3.48	1.4624	3.48	-8.43104
3.58	1.4624	3.58	-8.41572
3.68	1.47021	3.68	-8.4004
3.78	1.47949	3.78	-8.38509
3.88	1.47217	3.88	-8.36977
3.98	1.47998	3.98	-8.35446
4.08	1.4834	4.08	-8.33914
4.18	1.48975	4.18	-8.32382
4.28	1.4917	4.28	-8.30851
4.38	1.49121	4.38	-8.2932
4.48	1.49365	4.48	-8.27788
4.58	1.50928	4.58	-8.26257
4.68	1.50146	4.68	-8.24726
4.78	1.50293	4.78	-8.23194
4.88	1.51123	4.88	-8.21663
4.98	1.51123	4.98	-8.20132
5.08	1.52051	5.08	-8.18601
5.18	1.52295	5.18	-8.1707
5.28	1.52295	5.28	-8.15539
5.38	1.52881	5.38	-8.14008
5.48	1.53223	5.48	-8.12476
5.58	1.53271	5.58	-8.10946
5.68	1.53271	5.68	-8.09414
5.78	1.53076	5.78	-8.07884
5.88	1.53223	5.88	-8.06353
5.98	1.54053	5.98	-8.04822
6.08	1.54248	6.08	-8.03291
6.18	1.54199	6.18	-8.0176
6.28	1.55029	6.28	-8.00229
6.38	1.55225	6.38	-7.98699
6.48	1.56006	6.48	-7.97168
6.58	1.56152	6.58	-7.95637
6.68	1.56201	6.68	-7.94107
6.78	1.56982	6.78	-7.92576
6.88	1.57324	6.88	-7.91045
6.98	1.57373	6.98	-7.89515
7.08	1.57959	7.08	-7.87984
7.18	1.58154	7.18	-7.86454
