Cycle: 15  CDAN-D1080A_X	Cycle: 15  CDAN-D1080A_Y	Fitted Cycle: 15  CDAN-D1080A_X	Fitted Cycle: 15  CDAN-D1080A_Y
-23.62	0.725098	-23.62	-1.181
-23.52	0.715332	-23.52	-1.176
-23.42	0.705566	-23.42	-1.171
-23.32	0.705566	-23.32	-1.166
-23.22	0.695801	-23.22	-1.161
-23.12	0.686035	-23.12	-1.156
-23.02	0.686035	-23.02	-1.151
-22.92	0.674316	-22.92	-1.146
-22.82	0.674316	-22.82	-1.141
-22.72	0.664551	-22.72	-1.136
-22.62	0.654785	-22.62	-1.131
-22.52	0.654785	-22.52	-1.126
-22.42	0.64502	-22.42	-1.121
-22.32	0.64502	-22.32	-1.116
-22.22	0.643066	-22.22	-1.111
-22.12	0.635254	-22.12	-1.106
-22.02	0.635254	-22.02	-1.101
-21.92	0.625488	-21.92	-1.096
-21.82	0.615723	-21.82	-1.091
-21.72	0.615723	-21.72	-1.086
-21.62	0.605957	-21.62	-1.081
-21.52	0.594238	-21.52	-1.076
-21.42	0.594238	-21.42	-1.071
-21.32	0.584473	-21.32	-1.066
-21.22	0.574707	-21.22	-1.061
-21.12	0.574707	-21.12	-1.056
-21.02	0.564941	-21.02	-1.051
-20.92	0.564941	-20.92	-1.046
-20.82	0.555176	-20.82	-1.041
-20.72	0.54541	-20.72	-1.036
-20.62	0.54541	-20.62	-1.031
-20.52	0.535645	-20.52	-1.026
-20.42	0.525879	-20.42	-1.021
-20.32	0.525879	-20.32	-1.016
-20.22	0.51416	-20.22	-1.011
-20.12	0.51416	-20.12	-1.006
-20.02	0.504395	-20.02	-1.001
-19.92	0.504395	-19.92	-0.996
-19.82	0.494629	-19.82	-0.991
-19.72	0.484863	-19.72	-0.986
-19.62	0.475098	-19.62	-0.981
-19.52	0.467285	-19.52	-0.976
-19.42	0.455566	-19.42	-0.971
-19.32	0.463379	-19.32	-0.966
-19.22	0.447754	-19.22	-0.961
-19.12	0.453613	-19.12	-0.956
-19.02	0.445801	-19.02	-0.951
-18.92	0.42627	-18.92	-0.946
-18.82	0.424316	-18.82	-0.941
-18.72	0.414551	-18.72	-0.936
-18.62	0.404785	-18.62	-0.931
-18.52	0.404785	-18.52	-0.926
-18.42	0.39502	-18.42	-0.921
-18.32	0.385254	-18.32	-0.916
-18.22	0.385254	-18.22	-0.911
-18.12	0.375488	-18.12	-0.906
-18.02	0.365723	-18.02	-0.901
-17.92	0.365723	-17.92	-0.896
-17.82	0.355957	-17.82	-0.891
-17.72	0.346191	-17.72	-0.886
-17.62	0.346191	-17.62	-0.881
-17.52	0.334473	-17.52	-0.876
-17.42	0.324707	-17.42	-0.871
-17.32	0.324707	-17.32	-0.866
-17.22	0.314941	-17.22	-0.861
-17.12	0.305176	-17.12	-0.856
-17.02	0.297363	-17.02	-0.851
-16.92	0.285645	-16.92	-0.846
-16.82	0.275879	-16.82	-0.841
-16.72	0.275879	-16.72	-0.836
-16.62	0.266113	-16.62	-0.831
-16.52	0.266113	-16.52	-0.826
-16.42	0.256348	-16.42	-0.821
-16.32	0.244629	-16.32	-0.816
-16.22	0.244629	-16.22	-0.811
-16.12	0.234863	-16.12	-0.806
-16.02	0.234863	-16.02	-0.801
-15.92	0.225098	-15.92	-0.796
-15.82	0.225098	-15.82	-0.791
-15.72	0.223145	-15.72	-0.786
-15.62	0.215332	-15.62	-0.781
-15.52	0.215332	-15.52	-0.776
-15.42	0.205566	-15.42	-0.771
-15.32	0.205566	-15.32	-0.766
-15.22	0.195801	-15.22	-0.761
-15.12	0.186035	-15.12	-0.756
-15.02	0.186035	-15.02	-0.751
-14.92	0.174316	-14.92	-0.746
-14.82	0.174316	-14.82	-0.741
-14.72	0.164551	-14.72	-0.736
-14.62	0.164551	-14.62	-0.731
-14.52	0.154785	-14.52	-0.726
-14.42	0.154785	-14.42	-0.721
-14.32	0.14502	-14.32	-0.716
-14.22	0.14502	-14.22	-0.711
-14.12	0.135254	-14.12	-0.706
-14.02	0.135254	-14.02	-0.701
-13.92	0.125488	-13.92	-0.696
-13.82	0.125488	-13.82	-0.691
-13.72	0.123535	-13.72	-0.686
-13.62	0.125488	-13.62	-0.681
-13.52	0.115723	-13.52	-0.676
-13.42	0.105957	-13.42	-0.671
-13.32	0.105957	-13.32	-0.666
-13.22	0.0942383	-13.22	-0.661
-13.12	0.0942383	-13.12	-0.656
-13.02	0.0844727	-13.02	-0.651
-12.92	0.074707	-12.92	-0.646
-12.82	0.0649414	-12.82	-0.641
-12.72	0.0649414	-12.72	-0.636
-12.62	0.0551758	-12.62	-0.631
-12.52	0.0473633	-12.52	-0.626
-12.42	0.0356445	-12.42	-0.621
-12.32	0.0258789	-12.32	-0.616
-12.22	0.0161133	-12.22	-0.611
-12.12	0.0161133	-12.12	-0.606
-12.02	4.39453e-3	-12.02	-0.601
-11.92	4.39453e-3	-11.92	-0.596
-11.82	2.44141e-3	-11.82	-0.591
-11.72	4.39453e-3	-11.72	-0.586
-11.62	-5.37109e-3	-11.62	-0.581
-11.52	-5.37109e-3	-11.52	-0.576
-11.42	-0.0151367	-11.42	-0.571
-11.32	-7.32422e-3	-11.32	-0.566
