Cycle: 7  C15D171A_X	Cycle: 7  C15D171A_Y	Fitted Cycle: 7  C15D171A_X	Fitted Cycle: 7  C15D171A_Y
-27.26	0.606689	-27.26	-1.39653
-27.16	0.606689	-27.16	-1.39141
-27.06	0.606689	-27.06	-1.38628
-26.96	0.606689	-26.96	-1.38116
-26.86	0.596924	-26.86	-1.37604
-26.76	0.596924	-26.76	-1.37091
-26.66	0.596924	-26.66	-1.36579
-26.56	0.596924	-26.56	-1.36067
-26.46	0.587158	-26.46	-1.35555
-26.36	0.587158	-26.36	-1.35042
-26.26	0.587158	-26.26	-1.3453
-26.16	0.577393	-26.16	-1.34018
-26.06	0.573486	-26.06	-1.33505
-25.96	0.567627	-25.96	-1.32993
-25.86	0.557861	-25.86	-1.32481
-25.76	0.557861	-25.76	-1.31968
-25.66	0.557861	-25.66	-1.31456
-25.56	0.557861	-25.56	-1.30944
-25.46	0.544189	-25.46	-1.30432
-25.36	0.53833	-25.36	-1.29919
-25.26	0.53833	-25.26	-1.29407
-25.16	0.53833	-25.16	-1.28895
-25.06	0.528564	-25.06	-1.28382
-24.96	0.528564	-24.96	-1.2787
-24.86	0.528564	-24.86	-1.27358
-24.76	0.518799	-24.76	-1.26845
-24.66	0.518799	-24.66	-1.26333
-24.56	0.518799	-24.56	-1.25821
-24.46	0.518799	-24.46	-1.25309
-24.36	0.518799	-24.36	-1.24796
-24.26	0.518799	-24.26	-1.24284
-24.16	0.509033	-24.16	-1.23772
-24.06	0.505127	-24.06	-1.23259
-23.96	0.499268	-23.96	-1.22747
-23.86	0.499268	-23.86	-1.22235
-23.76	0.487549	-23.76	-1.21722
-23.66	0.487549	-23.66	-1.2121
-23.56	0.487549	-23.56	-1.20698
-23.46	0.487549	-23.46	-1.20186
-23.36	0.48291	-23.36	-1.19673
-23.26	0.47583	-23.26	-1.19161
-23.16	0.466064	-23.16	-1.18649
-23.06	0.466064	-23.06	-1.18136
-22.96	0.466064	-22.96	-1.17624
-22.86	0.466064	-22.86	-1.17112
-22.76	0.456299	-22.76	-1.16599
-22.66	0.456299	-22.66	-1.16087
-22.56	0.456299	-22.56	-1.15575
-22.46	0.456299	-22.46	-1.15063
-22.36	0.456299	-22.36	-1.1455
-22.26	0.456299	-22.26	-1.14038
-22.16	0.456299	-22.16	-1.13526
-22.06	0.456299	-22.06	-1.13013
-21.96	0.442627	-21.96	-1.12501
-21.86	0.436768	-21.86	-1.11989
-21.76	0.436768	-21.76	-1.11476
-21.66	0.432861	-21.66	-1.10964
-21.56	0.427002	-21.56	-1.10452
-21.46	0.427002	-21.46	-1.0994
-21.36	0.417236	-21.36	-1.09427
-21.26	0.41333	-21.26	-1.08915
-21.16	0.407471	-21.16	-1.08403
-21.06	0.407471	-21.06	-1.0789
-20.96	0.407471	-20.96	-1.07378
-20.86	0.403564	-20.86	-1.06866
-20.76	0.387939	-20.76	-1.06353
-20.66	0.387939	-20.66	-1.05841
-20.56	0.387939	-20.56	-1.05329
-20.46	0.387939	-20.46	-1.04817
-20.36	0.384033	-20.36	-1.04304
-20.26	0.378174	-20.26	-1.03792
-20.16	0.368408	-20.16	-1.0328
-20.06	0.368408	-20.06	-1.02767
-19.96	0.364502	-19.96	-1.02255
-19.86	0.358643	-19.86	-1.01743
-19.76	0.348877	-19.76	-1.0123
-19.66	0.348877	-19.66	-1.00718
-19.56	0.348877	-19.56	-1.00206
-19.46	0.344971	-19.46	-0.996936
-19.36	0.339111	-19.36	-0.991813
-19.26	0.339111	-19.26	-0.98669
-19.16	0.322754	-19.16	-0.981567
-19.06	0.315674	-19.06	-0.976444
-18.96	0.315674	-18.96	-0.971321
-18.86	0.315674	-18.86	-0.966198
-18.76	0.315674	-18.76	-0.961075
-18.66	0.311768	-18.66	-0.955952
-18.56	0.305908	-18.56	-0.950829
-18.46	0.296143	-18.46	-0.945706
-18.36	0.292236	-18.36	-0.940583
-18.26	0.286377	-18.26	-0.93546
-18.16	0.286377	-18.16	-0.930337
-18.06	0.282471	-18.06	-0.925214
-17.96	0.276611	-17.96	-0.920091
-17.86	0.266846	-17.86	-0.914968
-17.76	0.266846	-17.76	-0.909845
-17.66	0.262939	-17.66	-0.904722
-17.56	0.25708	-17.56	-0.899599
-17.46	0.25708	-17.46	-0.894476
-17.36	0.25708	-17.36	-0.889353
-17.26	0.253174	-17.26	-0.88423
-17.16	0.247314	-17.16	-0.879107
-17.06	0.237549	-17.06	-0.873984
-16.96	0.233643	-16.96	-0.868861
-16.86	0.227783	-16.86	-0.863738
-16.76	0.227783	-16.76	-0.858615
-16.66	0.223877	-16.66	-0.853492
-16.56	0.208252	-16.56	-0.848369
-16.46	0.208252	-16.46	-0.843246
-16.36	0.208252	-16.36	-0.838123
-16.26	0.208252	-16.26	-0.833
-16.16	0.204346	-16.16	-0.827877
-16.06	0.198486	-16.06	-0.822754
-15.96	0.198486	-15.96	-0.817631
-15.86	0.198486	-15.86	-0.812508
-15.76	0.188721	-15.76	-0.807385
-15.66	0.184082	-15.66	-0.802262
-15.56	0.177002	-15.56	-0.797139
-15.46	0.177002	-15.46	-0.792016
-15.36	0.167236	-15.36	-0.786893
-15.26	0.16333	-15.26	-0.78177
-15.16	0.157471	-15.16	-0.776647
-15.06	0.157471	-15.06	-0.771524
-14.96	0.147705	-14.96	-0.766401
-14.86	0.147705	-14.86	-0.761278
-14.76	0.143799	-14.76	-0.756155
-14.66	0.137939	-14.66	-0.751032
-14.56	0.137939	-14.56	-0.745909
-14.46	0.126221	-14.46	-0.740786
-14.36	0.126221	-14.36	-0.735663
-14.26	0.126221	-14.26	-0.73054
-14.16	0.122314	-14.16	-0.725417
-14.06	0.116455	-14.06	-0.720294
-13.96	0.116455	-13.96	-0.715171
-13.86	0.116455	-13.86	-0.710048
-13.76	0.116455	-13.76	-0.704925
-13.66	0.106689	-13.66	-0.699802
-13.56	0.102783	-13.56	-0.694679
-13.46	0.0969238	-13.46	-0.689556
-13.36	0.0969238	-13.36	-0.684433
-13.26	0.0871582	-13.26	-0.67931
-13.16	0.0871582	-13.16	-0.674187
-13.06	0.083252	-13.06	-0.669064
-12.96	0.0773926	-12.96	-0.663941
-12.86	0.0773926	-12.86	-0.658818
-12.76	0.067627	-12.76	-0.653695
-12.66	0.067627	-12.66	-0.648572
-12.56	0.0539551	-12.56	-0.643449
-12.46	0.0480957	-12.46	-0.638326
-12.36	0.0480957	-12.36	-0.633203
-12.26	0.0441895	-12.26	-0.62808
-12.16	0.0285645	-12.16	-0.622957
-12.06	0.0285645	-12.06	-0.617834
-11.96	0.0285645	-11.96	-0.612711
-11.86	0.0285645	-11.86	-0.607588
-11.76	0.0187988	-11.76	-0.602465
-11.66	0.0187988	-11.66	-0.597342
-11.56	0.0187988	-11.56	-0.592219
-11.46	9.0332e-3	-11.46	-0.587096
-11.36	9.0332e-3	-11.36	-0.581973
-11.26	-7.32422e-4	-11.26	-0.57685
-11.16	-7.32422e-4	-11.16	-0.571727
-11.06	-7.32422e-4	-11.06	-0.566604
-10.96	-7.32422e-4	-10.96	-0.561481
-10.86	-0.0124512	-10.86	-0.556358
-10.76	-0.0170898	-10.76	-0.551235
-10.66	-0.0241699	-10.66	-0.546112
-10.56	-0.0339355	-10.56	-0.540989
-10.46	-0.0339355	-10.46	-0.535866
-10.36	-0.0339355	-10.36	-0.530743
-10.26	-0.0437012	-10.26	-0.52562
-10.16	-0.0437012	-10.16	-0.520497
-10.06	-0.0534668	-10.06	-0.515374
-9.96	-0.0488281	-9.96	-0.510251
-9.86	-0.0378418	-9.86	-0.505128
-9.76	-0.0515137	-9.76	-0.500005
-9.66	-0.057373	-9.66	-0.494882
-9.56	-0.057373	-9.56	-0.489759
-9.46	-0.0690918	-9.46	-0.484636
-9.36	-0.0651855	-9.36	-0.479513
-9.26	-0.0593262	-9.26	-0.47439
-9.16	-0.0683594	-9.16	-0.469267
-9.06	-0.0671387	-9.06	-0.464144
-8.96	-0.0671387	-8.96	-0.459021
-8.86	-0.0749512	-8.86	-0.453898
-8.76	-0.0788574	-8.76	-0.448775
-8.66	-0.0788574	-8.66	-0.443652
-8.56	-0.0847168	-8.56	-0.438529
-8.46	-0.0742188	-8.46	-0.433406
-8.36	-0.0671387	-8.36	-0.428283
-8.26	-0.0749512	-8.26	-0.42316
-8.16	-0.0690918	-8.16	-0.418037
-8.06	-0.0788574	-8.06	-0.412914
-7.96	-0.0788574	-7.96	-0.407791
-7.86	-0.0839844	-7.86	-0.402668
-7.76	-0.0788574	-7.76	-0.397545
-7.66	-0.0749512	-7.66	-0.392422
-7.56	-0.0788574	-7.56	-0.387299
-7.46	-0.0788574	-7.46	-0.382176
-7.36	-0.0742188	-7.36	-0.377053
-7.26	-0.0769043	-7.26	-0.37193
-7.16	-0.0749512	-7.16	-0.366807
-7.06	-0.0690918	-7.06	-0.361684
-6.96	-0.0749512	-6.96	-0.356561
-6.86	-0.0690918	-6.86	-0.351438
-6.76	-0.0742188	-6.76	-0.346315
-6.66	-0.0671387	-6.66	-0.341192
-6.56	-0.0632324	-6.56	-0.336069
-6.46	-0.0690918	-6.46	-0.330946
-6.36	-0.0749512	-6.36	-0.325823
-6.26	-0.0690918	-6.26	-0.3207
-6.16	-0.0644531	-6.16	-0.315577
-6.06	-0.0632324	-6.06	-0.310454
-5.96	-0.0593262	-5.96	-0.305331
-5.86	-0.0710449	-5.86	-0.300208
-5.76	-0.0585938	-5.76	-0.295085
-5.66	-0.0495605	-5.66	-0.289962
-5.56	-0.0339355	-5.56	-0.284839
-5.46	-0.0202637	-5.46	-0.279716
-5.36	9.76563e-3	-5.36	-0.274593
-5.26	0.0402832	-5.26	-0.26947
-5.16	0.0742188	-5.16	-0.264347
-5.06	0.106689	-5.06	-0.259224
-4.96	0.134033	-4.96	-0.254101
-4.86	0.166016	-4.86	-0.248978
-4.76	0.19458	-4.76	-0.243855
-4.66	0.218018	-4.66	-0.238732
-4.56	0.221924	-4.56	-0.233609
-4.46	0.227783	-4.46	-0.228486
-4.36	0.233643	-4.36	-0.223363
-4.26	0.219971	-4.26	-0.21824
-4.16	0.200439	-4.16	-0.213117
-4.06	0.186035	-4.06	-0.207994
-3.96	0.169189	-3.96	-0.202871
-3.86	0.127441	-3.86	-0.197748
-3.76	0.0852051	-3.76	-0.192625
-3.66	0.0617676	-3.66	-0.187502
-3.56	0.0258789	-3.56	-0.182379
-3.46	1.2207e-3	-3.46	-0.177256
-3.36	-5.37109e-3	-3.36	-0.172133
-3.26	-0.0280762	-3.26	-0.16701
-3.16	-0.0581055	-3.16	-0.161887
-3.06	-0.0788574	-3.06	-0.156764
-2.96	-0.0893555	-2.96	-0.151641
-2.86	-0.104248	-2.86	-0.146518
-2.76	-0.11792	-2.76	-0.141395
-2.66	-0.128418	-2.66	-0.136272
-2.56	-0.127686	-2.56	-0.131149
-2.46	-0.132324	-2.46	-0.126026
-2.36	-0.157715	-2.36	-0.120903
-2.26	-0.165527	-2.26	-0.11578
-2.16	-0.179199	-2.16	-0.110657
-2.06	-0.210449	-2.06	-0.105534
-1.96	-0.257324	-1.96	-0.100411
-1.86	-0.278076	-1.86	-0.0952878
-1.76	-0.304199	-1.76	-0.0901649
-1.66	-0.322998	-1.66	-0.0850418
-1.56	-0.326904	-1.56	-0.0799189
