Cycle: 13  CDAN-E1046A_X	Cycle: 13  CDAN-E1046A_Y	Fitted Cycle: 13  CDAN-E1046A_X	Fitted Cycle: 13  CDAN-E1046A_Y
-3.32	0.355957	-3.32	-0.166
-3.22	0.297852	-3.22	-0.161
-3.12	0.264648	-3.12	-0.156
-3.02	0.217773	-3.02	-0.151
-2.92	0.176758	-2.92	-0.146
-2.82	0.137207	-2.82	-0.141
-2.72	0.108398	-2.72	-0.136
-2.62	0.0888672	-2.62	-0.131
-2.52	0.0595703	-2.52	-0.126
-2.42	0.0146484	-2.42	-0.121
-2.32	-0.0517578	-2.32	-0.116
-2.22	-0.124023	-2.22	-0.111
-2.12	-0.200684	-2.12	-0.106
-2.02	-0.315186	-2.02	-0.101
-1.92	-0.424805	-1.92	-0.0959999
-1.82	-0.497559	-1.82	-0.0909998
-1.72	-0.560059	-1.72	-0.0859999
-1.62	-0.614746	-1.62	-0.0809999
-1.52	-0.644043	-1.52	-0.0759998
-1.42	-0.675293	-1.42	-0.0709999
-1.32	-0.694824	-1.32	-0.0659998
-1.22	-0.657715	-1.22	-0.0609999
-1.12	-0.636719	-1.12	-0.0559999
-1.02	-0.560547	-1.02	-0.0509998
-0.919998	-0.499512	-0.919998	-0.0459999
-0.819996	-0.416016	-0.819996	-0.0409998
-0.719997	-0.304688	-0.719997	-0.0359999
-0.619999	-0.162354	-0.619999	-0.0309999
-0.519997	-0.0117188	-0.519997	-0.0259998
-0.419998	-5.37109e-3	-0.419998	-0.0209999
-0.319996	0.0322266	-0.319996	-0.0159998
-0.219997	0.276367	-0.219997	-0.0109999
-0.119999	1.44141	-0.119999	-5.99995e-3
-0.0199966	3.64966	-0.0199966	-9.99832e-4
0.0800018	5.5	0.0800018	-3.359
0.180004	3.59863	0.180004	-3.3505
0.280003	1.15332	0.280003	-3.342
0.380001	-0.0476074	0.380001	-3.33349
0.48	-0.342773	0.48	-3.32499
0.580006	-0.25293	0.580006	-3.31649
0.680004	0.0117188	0.680004	-3.30799
0.780003	0.142334	0.780003	-3.29949
0.880001	0.290283	0.880001	-3.29099
0.98	0.428711	0.98	-3.28249
1.08001	0.62793	1.08001	-3.27399
1.18	0.760742	1.18	-3.26549
1.28	0.85791	1.28	-3.25699
1.38	0.954102	1.38	-3.24849
1.48	0.986816	1.48	-3.23999
1.58001	1.02002	1.58001	-3.23149
1.68	1.08447	1.68	-3.22299
1.78	1.15283	1.78	-3.21449
1.88	1.19971	1.88	-3.20599
1.98	1.24072	1.98	-3.19749
2.08001	1.27197	2.08001	-3.189
2.18	1.31836	2.18	-3.1805
2.28	1.34033	2.28	-3.172
2.38	1.36768	2.38	-3.1635
2.48	1.37109	2.48	-3.155
2.58001	1.40869	2.58001	-3.14651
2.68	1.43994	2.68	-3.13801
2.78	1.45898	2.78	-3.12951
2.88	1.48877	2.88	-3.12102
2.98	1.51025	2.98	-3.11252
3.08001	1.5376	3.08001	-3.10402
3.18	1.55078	3.18	-3.09553
3.28	1.55713	3.28	-3.08703
3.38	1.56885	3.38	-3.07854
3.48	1.58008	3.48	-3.07004
3.58001	1.59814	3.58001	-3.06154
3.68	1.60986	3.68	-3.05305
3.78	1.61914	3.78	-3.04455
3.88	1.62939	3.88	-3.03606
3.98	1.62939	3.98	-3.02756
4.08001	1.63721	4.08001	-3.01907
4.18	1.65039	4.18	-3.01058
4.28	1.65869	4.28	-3.00208
4.38	1.66846	4.38	-2.99359
4.48	1.67822	4.48	-2.98509
4.58001	1.6875	4.58001	-2.9766
4.68	1.68994	4.68	-2.96811
4.78	1.69971	4.78	-2.95961
4.88	1.70117	4.88	-2.95112
4.98	1.71729	4.98	-2.94263
5.08001	1.71924	5.08001	-2.93414
5.18	1.72705	5.18	-2.92564
5.28	1.74023	5.28	-2.91715
5.38	1.74072	5.38	-2.90866
5.48	1.73877	5.48	-2.90017
5.58001	1.74854	5.58001	-2.89168
5.68	1.75781	5.68	-2.88318
5.78	1.76025	5.78	-2.87469
5.88	1.77002	5.88	-2.8662
5.98	1.7793	5.98	-2.85771
6.08001	1.7876	6.08001	-2.84922
6.18	1.79932	6.18	-2.84073
6.28	1.79932	6.28	-2.83224
6.38	1.80859	6.38	-2.82375
6.48	1.8208	6.48	-2.81526
6.58001	1.82861	6.58001	-2.80677
6.68	1.82861	6.68	-2.79828
6.78	1.83984	6.78	-2.78979
6.88	1.84814	6.88	-2.7813
6.98	1.8501	6.98	-2.77282
7.08001	1.85938	7.08001	-2.76433
