Cycle: 4  c15-c089_X	Cycle: 4  c15-c089_Y	Fitted Cycle: 4  c15-c089_X	Fitted Cycle: 4  c15-c089_Y
-34.46	0.285522	-34.46	-2.20682
-34.36	0.285522	-34.36	-2.20041
-34.26	0.285522	-34.26	-2.19401
-34.16	0.285522	-34.16	-2.18761
-34.06	0.285522	-34.06	-2.1812
-33.96	0.285522	-33.96	-2.1748
-33.86	0.285522	-33.86	-2.16839
-33.76	0.285522	-33.76	-2.16199
-33.66	0.285522	-33.66	-2.15559
-33.56	0.281616	-33.56	-2.14918
-33.46	0.275757	-33.46	-2.14278
-33.36	0.275757	-33.36	-2.13637
-33.26	0.285522	-33.26	-2.12997
-33.16	0.285522	-33.16	-2.12357
-33.06	0.285522	-33.06	-2.11716
-32.96	0.285522	-32.96	-2.11076
-32.86	0.285522	-32.86	-2.10435
-32.76	0.285522	-32.76	-2.09795
-32.66	0.281616	-32.66	-2.09155
-32.56	0.275757	-32.56	-2.08514
-32.46	0.275757	-32.46	-2.07874
-32.36	0.275757	-32.36	-2.07233
-32.26	0.275757	-32.26	-2.06593
-32.16	0.275757	-32.16	-2.05953
-32.06	0.275757	-32.06	-2.05312
-31.96	0.275757	-31.96	-2.04672
-31.86	0.275757	-31.86	-2.04031
-31.76	0.281616	-31.76	-2.03391
-31.66	0.275757	-31.66	-2.02751
-31.56	0.275757	-31.56	-2.0211
-31.46	0.275757	-31.46	-2.0147
-31.36	0.275757	-31.36	-2.00829
-31.26	0.275757	-31.26	-2.00189
-31.16	0.275757	-31.16	-1.99549
-31.06	0.271851	-31.06	-1.98908
-30.96	0.265991	-30.96	-1.98268
-30.86	0.265991	-30.86	-1.97627
-30.76	0.265991	-30.76	-1.96987
-30.66	0.265991	-30.66	-1.96347
-30.56	0.265991	-30.56	-1.95706
-30.46	0.271851	-30.46	-1.95066
-30.36	0.269897	-30.36	-1.94425
-30.26	0.271851	-30.26	-1.93785
-30.16	0.265991	-30.16	-1.93145
-30.06	0.265991	-30.06	-1.92504
-29.96	0.265991	-29.96	-1.91864
-29.86	0.265991	-29.86	-1.91223
-29.76	0.265991	-29.76	-1.90583
-29.66	0.265991	-29.66	-1.89943
-29.56	0.265991	-29.56	-1.89302
-29.46	0.265991	-29.46	-1.88662
-29.36	0.271851	-29.36	-1.88021
-29.26	0.265991	-29.26	-1.87381
-29.16	0.265991	-29.16	-1.86741
-29.06	0.265991	-29.06	-1.861
-28.96	0.265991	-28.96	-1.8546
-28.86	0.265991	-28.86	-1.84819
-28.76	0.265991	-28.76	-1.84179
-28.66	0.265991	-28.66	-1.83539
-28.56	0.262085	-28.56	-1.82898
-28.46	0.256226	-28.46	-1.82258
-28.36	0.256226	-28.36	-1.81617
-28.26	0.256226	-28.26	-1.80977
-28.16	0.265991	-28.16	-1.80337
-28.06	0.265991	-28.06	-1.79696
-27.96	0.261353	-27.96	-1.79056
-27.86	0.254272	-27.86	-1.78415
-27.76	0.254272	-27.76	-1.77775
-27.66	0.254272	-27.66	-1.77135
-27.56	0.250366	-27.56	-1.76494
-27.46	0.244507	-27.46	-1.75854
-27.36	0.244507	-27.36	-1.75213
-27.26	0.244507	-27.26	-1.74573
-27.16	0.244507	-27.16	-1.73933
-27.06	0.240601	-27.06	-1.73292
-26.96	0.234741	-26.96	-1.72652
-26.86	0.234741	-26.86	-1.72011
-26.76	0.244507	-26.76	-1.71371
-26.66	0.244507	-26.66	-1.70731
-26.56	0.244507	-26.56	-1.7009
-26.46	0.240601	-26.46	-1.6945
-26.36	0.234741	-26.36	-1.68809
-26.26	0.234741	-26.26	-1.68169
-26.16	0.234741	-26.16	-1.67529
-26.06	0.234741	-26.06	-1.66888
-25.96	0.234741	-25.96	-1.66248
-25.86	0.234741	-25.86	-1.65607
-25.76	0.234741	-25.76	-1.64967
-25.66	0.230835	-25.66	-1.64327
-25.56	0.224976	-25.56	-1.63686
-25.46	0.224976	-25.46	-1.63046
-25.36	0.224976	-25.36	-1.62405
-25.26	0.224976	-25.26	-1.61765
-25.16	0.221069	-25.16	-1.61125
-25.06	0.21521	-25.06	-1.60484
-24.96	0.224976	-24.96	-1.59844
-24.86	0.224976	-24.86	-1.59203
-24.76	0.224976	-24.76	-1.58563
-24.66	0.224976	-24.66	-1.57923
-24.56	0.224976	-24.56	-1.57282
-24.46	0.224976	-24.46	-1.56642
-24.36	0.224976	-24.36	-1.56001
-24.26	0.221069	-24.26	-1.55361
-24.16	0.21521	-24.16	-1.54721
-24.06	0.21521	-24.06	-1.5408
-23.96	0.21521	-23.96	-1.5344
-23.86	0.226929	-23.86	-1.52799
-23.76	0.223022	-23.76	-1.52159
-23.66	0.217163	-23.66	-1.51519
-23.56	0.217163	-23.56	-1.50878
-23.46	0.217163	-23.46	-1.50238
-23.36	0.213257	-23.36	-1.49597
-23.26	0.207397	-23.26	-1.48957
-23.16	0.207397	-23.16	-1.48317
-23.06	0.207397	-23.06	-1.47676
-22.96	0.207397	-22.96	-1.47036
-22.86	0.202759	-22.86	-1.46395
-22.76	0.195679	-22.76	-1.45755
-22.66	0.205444	-22.66	-1.45115
-22.56	0.205444	-22.56	-1.44474
-22.46	0.205444	-22.46	-1.43834
-22.36	0.205444	-22.36	-1.43193
-22.26	0.201538	-22.26	-1.42553
-22.16	0.195679	-22.16	-1.41913
-22.06	0.195679	-22.06	-1.41272
-21.96	0.201538	-21.96	-1.40632
-21.86	0.195679	-21.86	-1.39991
-21.76	0.195679	-21.76	-1.39351
-21.66	0.191772	-21.66	-1.38711
