Cycle: 8  C15N146A_X	Cycle: 8  C15N146A_Y	Fitted Cycle: 8  C15N146A_X	Fitted Cycle: 8  C15N146A_Y
-17.86	0.278564	-17.86	0.145845
-17.76	0.272705	-17.76	0.145028
-17.66	0.272705	-17.66	0.144212
-17.56	0.260986	-17.56	0.143395
-17.46	0.256348	-17.46	0.142578
-17.36	0.249268	-17.36	0.141762
-17.26	0.249268	-17.26	0.140945
-17.16	0.249268	-17.16	0.140129
-17.06	0.235596	-17.06	0.139312
-16.96	0.229736	-16.96	0.138495
-16.86	0.229736	-16.86	0.137679
-16.76	0.219971	-16.76	0.136862
-16.66	0.219971	-16.66	0.136046
-16.56	0.216064	-16.56	0.135229
-16.46	0.210205	-16.46	0.134412
-16.36	0.210205	-16.36	0.133596
-16.26	0.200439	-16.26	0.132779
-16.16	0.200439	-16.16	0.131963
-16.06	0.200439	-16.06	0.131146
-15.96	0.190674	-15.96	0.130329
-15.86	0.190674	-15.86	0.129513
-15.76	0.186768	-15.76	0.128696
-15.66	0.180908	-15.66	0.12788
-15.56	0.180908	-15.56	0.127063
-15.46	0.171143	-15.46	0.126246
-15.36	0.171143	-15.36	0.12543
-15.26	0.167236	-15.26	0.124613
-15.16	0.151611	-15.16	0.123797
-15.06	0.151611	-15.06	0.12298
-14.96	0.151611	-14.96	0.122163
-14.86	0.151611	-14.86	0.121347
-14.76	0.141846	-14.76	0.12053
-14.66	0.141846	-14.66	0.119714
-14.56	0.137939	-14.56	0.118897
-14.46	0.13208	-14.46	0.11808
-14.36	0.122314	-14.36	0.117264
-14.26	0.122314	-14.26	0.116447
-14.16	0.122314	-14.16	0.115631
-14.06	0.122314	-14.06	0.114814
-13.96	0.122314	-13.96	0.113997
-13.86	0.110596	-13.86	0.113181
-13.76	0.110596	-13.76	0.112364
-13.66	0.106689	-13.66	0.111548
-13.56	0.0910645	-13.56	0.110731
-13.46	0.0910645	-13.46	0.109914
-13.36	0.0910645	-13.36	0.109098
-13.26	0.0871582	-13.26	0.108281
-13.16	0.0715332	-13.16	0.107465
-13.06	0.0715332	-13.06	0.106648
-12.96	0.0715332	-12.96	0.105831
-12.86	0.0617676	-12.86	0.105015
-12.76	0.0617676	-12.76	0.104198
-12.66	0.0578613	-12.66	0.103382
-12.56	0.0422363	-12.56	0.102565
-12.46	0.0422363	-12.46	0.101748
-12.36	0.0422363	-12.36	0.100932
-12.26	0.027832	-12.26	0.100115
-12.16	0.020752	-12.16	0.0992986
-12.06	0.020752	-12.06	0.0984819
-11.96	0.0109863	-11.96	0.0976654
-11.86	0.0109863	-11.86	0.0968488
-11.76	0.0109863	-11.76	0.0960321
-11.66	0.0109863	-11.66	0.0952156
-11.56	1.2207e-3	-11.56	0.0943989
-11.46	1.2207e-3	-11.46	0.0935824
-11.36	1.2207e-3	-11.36	0.0927658
-11.26	-0.010498	-11.26	0.0919491
-11.16	-0.010498	-11.16	0.0911326
-11.06	-0.0202637	-11.06	0.0903159
-10.96	-0.0202637	-10.96	0.0894994
-10.86	-0.0202637	-10.86	0.0886828
-10.76	-0.0300293	-10.76	0.0878661
-10.66	-0.0300293	-10.66	0.0870496
-10.56	-0.0300293	-10.56	0.0862329
-10.46	-0.0300293	-10.46	0.0854164
-10.36	-0.0397949	-10.36	0.0845998
-10.26	-0.0397949	-10.26	0.0837831
