"Volume (mL)"	"BioRad Standards"	"BioRad Standards"	"BioRad Standards"	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
-1.412250	-0.843260					
-1.411260	-0.759830					
-1.410270	-0.759290					
-1.409270	-0.768260					
-1.408280	-0.816430					
-1.407290	-0.864700					
-1.406300	-0.887270					
-1.405300	-0.876690					
-1.404310	-0.884030					
-1.403320	-0.907790					
-1.402320	-0.907090					
-1.401330	-0.962820					
-1.400340	-0.979880					
-1.399350	-1.010930					
-1.398350	-1.018980					
-1.397360	-1.012550					
-1.396370	-1.041170					
-1.395380	-1.055000					
-1.394380	-1.105330					
-1.393390	-1.133620					
-1.392400	-1.157270					
-1.391410	-1.200150					
-1.390410	-1.208470					
-1.389420	-1.224020					
-1.388430	-1.263220					
-1.387430	-1.248970					
-1.386440	-1.241680					
-1.385450	-1.244270					
-1.384460	-1.189460					
-1.383460	-1.178820					
-1.382470	-1.215540					
-1.381480	-1.218240					
-1.380490	-1.247620					
-1.379490	-1.280500					
-1.378500	-1.265110					
-1.377510	-1.291460					
-1.376520	-1.296430					
-1.375520	-1.302530					
-1.374530	-1.287950					
-1.373540	-1.260630					
-1.372540	-1.250910					
-1.371550	-1.203280					
-1.370560	-1.191400					
-1.369570	-1.177250					
-1.368570	-1.195240					
-1.367580	-1.186060					
-1.366590	-1.181740					
-1.365600	-1.175310					
-1.364600	-1.221320					
-1.363610	-1.190700					
-1.362620	-1.165910					
-1.361630	-1.191940					
-1.360630	-1.229310					
-1.359640	-1.236600					
-1.358650	-1.239460					
-1.357650	-1.240110					
-1.356660	-1.220400					
-1.355670	-1.197020					
-1.354680	-1.228010					
-1.353680	-1.258630					
-1.352690	-1.257980					
-1.351700	-1.272620					
-1.350710	-1.285200					
-1.349710	-1.306850					
-1.348720	-1.320520					
-1.347730	-1.337960					
-1.346740	-1.360800					
-1.345740	-1.377490					
-1.344750	-1.404590					
-1.343760	-1.410970					
-1.342760	-1.408910					
-1.341770	-1.408910					
-1.340780	-1.395740					
-1.339790	-1.407510					
-1.338790	-1.430620					
-1.337800	-1.411070					
-1.336810	-1.446820					
-1.335820	-1.497800					
-1.334820	-1.540130					
-1.333830	-1.577610					
-1.332840	-1.619680					
-1.331850	-1.641760					
-1.330850	-1.675130					
-1.329860	-1.688040					
-1.328870	-1.712720					
-1.327870	-1.688960					
-1.326880	-1.667360					
-1.325890	-1.689820					
-1.324900	-1.670600					
-1.323900	-1.654610					
-1.322910	-1.663150					
-1.321920	-1.632530					
-1.320930	-1.664770					
-1.319930	-1.699000					
-1.318940	-1.714990					
-1.317950	-1.714390					
-1.316960	-1.714340					
-1.315960	-1.739180					
-1.314970	-1.775030					
-1.313980	-1.763530					
