"Vol (mL)"	CDIN1L178Q	CDIN1L178Q	CDIN1L178Q	Codanin-1	Codanin-1	Codanin-1	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"	"CDIN1L178Q- Codanin-1"
84.8200				10.000					
84.9400				9.880					
85.0700				9.400					
85.1900				8.560					
85.3200				8.600					
85.4400				7.960					
85.5700				7.880					
85.6900				7.400					
85.8200				6.960					
85.9400				6.720					
86.0700				6.560					
86.1900				6.280					
86.3200				5.760					
86.4400				5.800					
86.5700				5.360					
86.6900				5.240					
86.8200				5.080					
86.9400				4.600					
87.0700				4.600					
87.1900				4.360					
87.3200				4.200					
87.4400				4.080					
87.5700				4.000					
87.6900				3.640					
87.8200				3.600					
87.9400				3.520					
88.0700				3.280					
88.1900				3.280					
88.3200				3.080					
88.4400				2.920					
88.5700				2.960					
88.6900				2.840					
88.8200				2.760					
88.9400				2.720					
89.0700				2.520					
89.1900				2.480					
89.3200				2.400					
89.4400				2.280					
89.5700				2.320					
89.7000				2.200					
89.8200				2.040					
89.9500				2.000					
90.0700				2.000					
90.2000				1.960					
90.3200				2.000					
90.4500				1.920					
90.5700				1.800					
90.7000				1.800					
90.8200				1.800					
90.9500				1.720					
91.0700				1.880					
91.2000				1.680					
91.3200				1.560					
91.4500				1.640					
91.5700				1.640					
91.7000				1.520					
91.8200				1.560					
91.9500				1.440					
92.0700				1.560					
92.2000				1.560					
92.3200				1.520					
92.4500				1.520					
92.5700				1.560					
92.7000				1.480					
92.8200				1.520					
92.9500				1.600					
93.0700				1.520					
93.2000				1.520					
93.3200				1.520					
93.4500				1.480					
93.5700				1.520					
93.7000				1.560					
93.8200				1.480					
93.9500				1.560					
94.0700				1.560					
94.2000				1.520					
94.3200				1.560					
94.4500				1.600					
94.5700				1.480					
94.7000				1.480					
94.8200				1.560					
94.9500				1.560					
95.0700				1.440					
95.2000				1.480					
95.3200				1.480					
95.4500				1.480					
95.5700				1.520					
95.7000				1.440					
95.8200				1.480					
95.9500				1.520					
96.0800				1.440					
96.2000				1.400					
96.3300				1.360					
96.4500				1.360					
96.5800				1.280					
96.7000				1.240					
96.8300				1.240					
96.9500				1.280					
97.0800				1.240					
97.2000				1.200					
97.3300				1.200					
97.4500				1.080					
97.5800				1.000					
97.7000				1.080					
97.8300				1.040					
97.9500				0.920					
98.0800				0.920					
98.2000				1.000					
98.3300				0.920					
98.4500				0.880					
98.5800				0.800					
98.7000				0.840					
98.8300				0.880					
98.9500				0.760					
99.0800				0.800					
99.2000				0.840					
99.3300				0.760					
99.4500				0.680					
99.5800				0.800					
99.7000				0.720					
99.8300				0.760					
99.9500				0.720					
100.0800				0.640					
100.2000				0.720					
100.3300				0.640					
100.4500				0.680					
100.5800				0.560					
100.7000				0.640					
100.8300				0.600					
100.9500				0.680					
101.0800				0.480					
101.2000				0.520					
101.3300				0.600					
101.4500				0.640					
101.5800				0.600					
101.7000				0.560					
101.8300				0.600					
101.9500				0.520					
102.0800				0.560					
102.2000				0.560					
102.3300				0.600					
102.4600				0.520					
102.5800				0.600					
102.7100				0.520					
102.8300				0.600					
102.9600				0.520					
103.0800				0.520					
103.2100				0.600					
103.3300				0.520					
103.4600				0.600					
103.5800				0.640					
103.7100				0.520					
103.8300				0.600					
103.9600				0.600					
104.0800				0.680					
104.2100				0.640					
104.3300				0.680					
104.4600				0.680					
104.5800				0.760					
104.7100				0.720					
104.8300				0.760					
104.9600				0.800					
105.0800				0.880					
105.2100				0.920					
105.3300				0.880					
105.4600				0.840					
105.5800				0.920					
105.7100				0.960					
105.8300				1.000					
105.9600				1.040					
106.0800				1.080					
106.2100				1.040					
106.3300				1.200					
106.4600				1.160					
106.5800				1.160					
106.7100				1.160					
106.8300				1.200					
106.9600				1.280					
107.0800				1.360					
107.2100				1.320					
107.3300				1.400					
107.4600				1.440					
107.5800				1.440					
107.7100				1.400					
107.8300				1.560					
107.9600				1.560					
108.0800				1.600					
108.2100				1.560					
108.3300				1.520					
108.4600				1.560					
108.5800				1.600					
108.7100				1.640					
108.8400				1.600					
108.9600				1.600					
109.0900				1.680					
109.2100				1.720					
109.3400				1.640					
109.4600				1.680					
109.5900				1.720					
109.7100				1.680					
109.8400				1.640					
109.9600				1.520					
110.0900				1.680					
110.2100				1.680					
110.3400				1.760					
110.4600				1.680					
110.5900				1.640					
110.7100				1.600					
110.8400				1.640					
110.9600				1.680					
111.0900				1.600					
111.2100				1.680					
111.3400				1.560					
111.4600				1.560					
111.5900				1.600					
111.7100				1.560					
111.8400				1.560					
111.9600				1.520					
112.0900				1.480					
112.2100				1.440					
112.3400				1.440					
112.4600				1.480					
112.5900				1.320					
112.7100				1.440					
112.8400				1.400					
112.9600				1.400					
113.0900				1.360					
113.2100				1.360					
113.3400				1.280					
113.4600				1.280					
113.5900				1.200					
113.7100				1.200					
113.8400				1.240					
113.9600				1.200					
114.0900				1.160					
114.2100				1.160					
114.3400				1.120					
114.4600				1.040					
114.5900				1.040					
114.7100				1.000					
114.8400				0.960					
114.9600				0.880					
115.0900				0.800					
115.2200				0.800					
115.3400				0.800					
115.4700				0.680					
115.5900				0.760					
115.7200				0.720					
115.8400				0.600					
115.9700				0.600					
116.0900				0.480					
116.2200				0.440					
116.3400				0.400					
116.4700				0.360					
116.5900				0.240					
116.7200				0.160					
116.8400				0.160					
116.9700				0.080					
117.0900				0.040					
117.2200				0.040					
117.3400				-0.040					
117.4700				-0.120					
117.5900				-0.160					
117.7200				-0.120					
117.8400				-0.200					
117.9700				-0.280					
118.0900				-0.400					
118.2200				-0.320					
118.3400				-0.360					
118.4700				-0.480					
118.5900				-0.400					
118.7200				-0.520					
118.8400				-0.560					
118.9700				-0.560					
119.0900				-0.600					
119.2200				-0.640					
119.3400				-0.640					
