"Vol (mL)"	CDIN1Y94C	CDIN1Y94C	CDIN1Y94C	Codanin-1	Codanin-1	Codanin-1	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"	"CDIN1Y94C- Codanin-1"
84.69				10.640					
84.82				10.000					
84.94				9.880					
85.07				9.400					
85.19				8.560					
85.32				8.600					
85.44				7.960					
85.57				7.880					
85.69				7.400					
85.82				6.960					
85.94				6.720					
86.07				6.560					
86.19				6.280					
86.32				5.760					
86.44				5.800					
86.57				5.360					
86.69				5.240					
86.82				5.080					
86.94				4.600					
87.07				4.600					
87.19				4.360					
87.32				4.200					
87.44				4.080					
87.57				4.000					
87.69				3.640					
87.82				3.600					
87.94				3.520					
88.07				3.280					
88.19				3.280					
88.32				3.080					
88.44				2.920					
88.57				2.960					
88.69				2.840					
88.82				2.760					
88.94				2.720					
89.07				2.520					
89.19				2.480					
89.32				2.400					
89.44				2.280					
89.57				2.320					
89.70				2.200					
89.82				2.040					
89.95				2.000					
90.07				2.000					
90.20				1.960					
90.32				2.000					
90.45				1.920					
90.57				1.800					
90.70				1.800					
90.82				1.800					
90.95				1.720					
91.07				1.880					
91.20				1.680					
91.32				1.560					
91.45				1.640					
91.57				1.640					
91.70				1.520					
91.82				1.560					
91.95				1.440					
92.07				1.560					
92.20				1.560					
92.32				1.520					
92.45				1.520					
92.57				1.560					
92.70				1.480					
92.82				1.520					
92.95				1.600					
93.07				1.520					
93.20				1.520					
93.32				1.520					
93.45				1.480					
93.57				1.520					
93.70				1.560					
93.82				1.480					
93.95				1.560					
94.07				1.560					
94.20				1.520					
94.32				1.560					
94.45				1.600					
94.57				1.480					
94.70				1.480					
94.82				1.560					
94.95				1.560					
95.07				1.440					
95.20				1.480					
95.32				1.480					
95.45				1.480					
95.57				1.520					
95.70				1.440					
95.82				1.480					
95.95				1.520					
96.08				1.440					
96.20				1.400					
96.33				1.360					
96.45				1.360					
96.58				1.280					
96.70				1.240					
96.83				1.240					
96.95				1.280					
97.08				1.240					
97.20				1.200					
97.33				1.200					
97.45				1.080					
97.58				1.000					
97.70				1.080					
97.83				1.040					
97.95				0.920					
98.08				0.920					
98.20				1.000					
98.33				0.920					
98.45				0.880					
98.58				0.800					
98.70				0.840					
98.83				0.880					
98.95				0.760					
99.08				0.800					
99.20				0.840					
99.33				0.760					
99.45				0.680					
99.58				0.800					
99.70				0.720					
99.83				0.760					
99.95				0.720					
100.08				0.640					
100.20				0.720					
100.33				0.640					
100.45				0.680					
100.58				0.560					
100.70				0.640					
100.83				0.600					
100.95				0.680					
101.08				0.480					
101.20				0.520					
101.33				0.600					
101.45				0.640					
101.58				0.600					
101.70				0.560					
101.83				0.600					
101.95				0.520					
102.08				0.560					
102.20				0.560					
102.33				0.600					
102.46				0.520					
102.58				0.600					
102.71				0.520					
102.83				0.600					
102.96				0.520					
103.08				0.520					
103.21				0.600					
103.33				0.520					
103.46				0.600					
103.58				0.640					
103.71				0.520					
103.83				0.600					
103.96				0.600					
104.08				0.680					
104.21				0.640					
104.33				0.680					
104.46				0.680					
104.58				0.760					
104.71				0.720					
104.83				0.760					
104.96				0.800					
105.08				0.880					
105.21				0.920					
105.33				0.880					
105.46				0.840					
105.58				0.920					
105.71				0.960					
105.83				1.000					
105.96				1.040					
106.08				1.080					
106.21				1.040					
106.33				1.200					
106.46				1.160					
106.58				1.160					
106.71				1.160					
106.83				1.200					
106.96				1.280					
107.08				1.360					
107.21				1.320					
107.33				1.400					
107.46				1.440					
107.58				1.440					
107.71				1.400					
107.83				1.560					
107.96				1.560					
108.08				1.600					
108.21				1.560					
108.33				1.520					
108.46				1.560					
108.58				1.600					
108.71				1.640					
108.84				1.600					
108.96				1.600					
109.09				1.680					
109.21				1.720					
109.34				1.640					
109.46				1.680					
109.59				1.720					
109.71				1.680					
109.84				1.640					
109.96				1.520					
110.09				1.680					
110.21				1.680					
110.34				1.760					
110.46				1.680					
110.59				1.640					
110.71				1.600					
110.84				1.640					
110.96				1.680					
111.09				1.600					
111.21				1.680					
111.34				1.560					
111.46				1.560					
111.59				1.600					
111.71				1.560					
111.84				1.560					
111.96				1.520					
112.09				1.480					
112.21				1.440					
112.34				1.440					
112.46				1.480					
112.59				1.320					
112.71				1.440					
112.84				1.400					
112.96				1.400					
113.09				1.360					
113.21				1.360					
113.34				1.280					
113.46				1.280					
113.59				1.200					
113.71				1.200					
113.84				1.240					
113.96				1.200					
114.09				1.160					
114.21				1.160					
114.34				1.120					
114.46				1.040					
114.59				1.040					
114.71				1.000					
114.84				0.960					
114.96				0.880					
115.09				0.800					
115.22				0.800					
115.34				0.800					
115.47				0.680					
115.59				0.760					
115.72				0.720					
115.84				0.600					
115.97				0.600					
116.09				0.480					
116.22				0.440					
116.34				0.400					
116.47				0.360					
116.59				0.240					
116.72				0.160					
116.84				0.160					
116.97				0.080					
117.09				0.040					
117.22				0.040					
117.34				-0.040					
117.47				-0.120					
117.59				-0.160					
117.72				-0.120					
117.84				-0.200					
117.97				-0.280					
118.09				-0.400					
118.22				-0.320					
118.34				-0.360					
118.47				-0.480					
118.59				-0.400					
118.72				-0.520					
118.84				-0.560					
118.97				-0.560					
119.09				-0.600					
119.22				-0.640					
119.34				-0.640					
119.47				-0.680					
119.59				-0.680					
119.72				-0.760					
119.84				-0.720					
119.97				-0.840					
									
0.00	5.1468								
0.13	4.8528								
0.25	4.6188								
0.38	4.5780								
0.50	5.3544								
0.63	5.6520								
0.75	6.1800								
0.88	5.4492								
1.00	5.2308								
1.13	4.9380								
1.25	4.8132								
1.38	4.7556								
1.50	4.7304								
1.63	4.6248								
1.75	4.5168								
1.88	4.4880								
2.00	4.3668								
2.13	4.2912								
2.26	4.2012								
2.38	4.1016								
2.51	4.0824								
2.63	3.9684								
2.76	3.9216								
2.88	3.8028								
3.01	3.7848								
3.13	3.6564								
3.26	3.6048								
3.38	3.5436								
3.51	3.4440								
3.63	3.3528								
3.76	3.2748								
3.88	3.2244								
4.01	3.1740								
4.13	3.0852								
4.26	2.9832								
4.39	2.9424								
4.51	2.8356								
4.64	2.7456								
4.76	2.7216								
4.89	2.6220								
5.01	2.5632								
5.14	2.4528								
5.26	2.4312								
5.39	2.3340								
5.51	2.2668								
5.64	2.2224								
5.76	2.1072								
5.89	2.0664								
6.01	1.9380								
6.14	1.9068								
6.27	1.8552								
6.39	1.7928								
6.52	1.7160								
6.64	1.6572								
6.77	1.5864								
6.89	1.5156								
7.02	1.4880								
7.14	1.3824								
7.27	1.3572								
7.39	1.3068								
7.52	1.2492								
7.64	1.2132								
7.77	1.1736								
7.89	1.1184								
8.02	0.9996								
8.14	1.0200								
8.27	0.9540								
8.40	0.9180								
8.52	0.8892								
8.65	0.8088								
8.77	0.7740								
8.90	0.7848								
9.02	0.7320								
9.15	0.6840								
9.27	0.7032								
9.40	0.6504								
9.52	0.6372								
9.65	0.6348								
9.77	0.5832								
9.90	0.5628								
10.02	0.5616								
10.15	0.5376								
10.27	0.5136								
10.40	0.5196								
10.53	0.4884								
10.65	0.4872								
10.78	0.4644								
10.90	0.4464								
11.03	0.4752								
11.15	0.4236								
11.28	0.4092								
11.40	0.3876								
11.53	0.3816								
11.65	0.3720								
11.78	0.3612								
11.90	0.3312								
12.03	0.3276								
12.15	0.2964								
12.28	0.3192								
12.40	0.3000								
12.53	0.2616								
12.66	0.2568								
12.78	0.2736								
12.91	0.2532								
13.03	0.2472								
13.16	0.1824								
13.28	0.2256								
13.41	0.1656								
13.53	0.1632								
13.66	0.1416								
13.78	0.1212								
13.91	0.1356								
14.03	0.1068								
14.16	0.0936								
14.28	0.0756								
14.41	0.0540								
14.54	0.0384								
14.66	0.0516								
14.79	0.0096								
14.91	0.0144								
15.04	0.0312								
15.16	-0.0156								
15.29	-0.0336								
15.41	-0.0348								
15.54	-0.0612								
15.66	-0.0468								
15.79	-0.0552								
15.91	-0.0744								
16.04	-0.0840								
16.16	-0.1392								
16.29	-0.1668								
16.41	-0.1368								
16.54	-0.1644								
16.67	-0.1944								
16.79	-0.1668								
16.92	-0.1740								
17.04	-0.1992								
17.17	-0.1992								
17.29	-0.1956								
17.42	-0.2388								
17.54	-0.2016								
17.67	-0.2580								
17.79	-0.2640								
17.92	-0.2640								
18.04	-0.2760								
18.17	-0.3000								
18.29	-0.3240								
18.42	-0.3228								
18.54	-0.3420								
18.67	-0.3228								
