"Vol (mL)"	CDIN1	CDIN1	CDIN1	Codanin-1	Codanin-1	Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1	CDIN1-Codanin-1
112.79	0.30								
112.92	0.31								
113.04	0.22								
113.17	0.23								
113.29	0.17								
113.42	0.15								
113.54	0.09								
113.66	0.05								
113.79	0.10								
113.91	0.05								
114.04	-0.02								
114.16	-0.04								
114.29	-0.04								
114.41	-0.07								
114.54	-0.09								
114.66	-0.08								
114.78	-0.13								
114.91	-0.12								
115.03	-0.16								
115.16	-0.19								
115.28	-0.19								
115.41	-0.21								
115.53	-0.21								
115.66	-0.24								
115.78	-0.25								
115.91	-0.26								
116.03	-0.28								
116.15	-0.29								
116.28	-0.31								
116.40	-0.32								
116.53	-0.35								
116.65	-0.38								
116.78	-0.38								
116.90	-0.39								
117.03	-0.41								
117.15	-0.39								
117.27	-0.41								
117.40	-0.44								
117.52	-0.44								
117.65	-0.48								
117.77	-0.47								
117.90	-0.51								
118.02	-0.51								
118.15	-0.54								
118.27	-0.54								
118.39	-0.54								
118.52	-0.57								
118.64	-0.57								
118.77	-0.58								
118.89	-0.58								
119.02	-0.59								
119.14	-0.60								
119.27	-0.63								
119.39	-0.64								
119.52	-0.65								
119.64	-0.67								
119.76	-0.67								
119.89	-0.69								
									
									
									
0.00				0.342					
0.13				0.741					
0.25				-0.285					
0.38				11.571					
0.50				11.970					
0.63				21.546					
0.75				24.966					
0.88				25.194					
1.00				22.914					
1.13				20.520					
1.25				18.924					
1.38				17.499					
1.50				16.587					
1.63				15.732					
1.75				14.649					
1.88				13.851					
2.00				13.338					
2.13				12.996					
2.25				12.312					
2.38				11.970					
2.50				12.141					
2.63				12.141					
2.75				11.628					
2.88				11.229					
3.00				11.172					
3.13				10.887					
3.25				10.374					
3.38				10.545					
3.50				10.089					
3.63				9.861					
3.75				9.519					
3.88				9.462					
4.00				9.348					
4.13				9.006					
4.25				8.778					
4.38				8.493					
4.50				8.436					
4.63				8.265					
4.75				7.923					
4.88				7.809					
5.00				7.695					
5.13				7.524					
5.25				7.524					
5.38				7.296					
5.50				7.182					
5.63				7.182					
5.75				6.897					
5.88				6.897					
6.00				6.783					
6.13				6.612					
6.25				6.612					
6.38				6.555					
6.51				6.384					
6.63				6.498					
6.76				6.270					
6.88				6.213					
7.01				6.156					
7.13				6.042					
7.26				5.985					
7.38				5.985					
7.51				5.871					
7.63				5.871					
7.76				5.529					
7.88				5.586					
8.01				5.643					
8.13				5.586					
8.26				5.529					
8.38				5.301					
8.51				5.529					
8.63				5.358					
8.76				5.301					
8.88				5.301					
9.01				5.187					
9.13				5.130					
9.26				5.187					
9.38				5.073					
9.51				5.244					
9.63				5.130					
9.76				5.016					
9.88				5.016					
10.01				5.016					
10.13				5.073					
10.26				4.845					
10.38				4.959					
10.51				4.902					
10.63				4.902					
10.76				4.959					
10.88				4.902					
11.01				4.845					
11.13				4.788					
11.26				4.731					
11.38				4.845					
11.51				4.731					
11.63				4.731					
11.76				4.674					
11.88				4.674					
12.01				4.674					
12.13				4.560					
12.26				4.560					
12.38				4.560					
12.51				4.389					
12.63				4.446					
12.76				4.617					
12.89				4.389					
13.01				4.275					
13.14				4.503					
13.26				4.389					
13.39				4.446					
13.51				4.389					
13.64				4.332					
13.76				4.275					
13.89				4.389					
14.01				4.389					
14.14				4.446					
14.26				4.218					
14.39				4.332					
14.51				4.332					
14.64				4.218					
14.76				4.161					
14.89				4.218					
15.01				4.389					
15.14				4.332					
15.26				4.161					
15.39				4.218					
15.51				4.047					
15.64				4.104					
15.76				4.161					
15.89				4.047					
16.01				4.047					
16.14				3.990					
16.26				4.047					
16.39				4.047					
16.51				3.933					
16.64				3.933					
16.76				3.990					
16.89				4.047					
17.01				3.933					
17.14				3.933					
17.26				3.876					
17.39				3.933					
17.51				3.819					
17.64				3.876					
17.76				3.762					
17.89				3.819					
18.01				3.762					
18.14				3.933					
18.26				3.648					
18.39				3.762					
18.51				3.762					
18.64				3.705					
18.76				3.648					
18.89				3.648					
19.01				3.648					
19.14				3.876					
19.27				3.534					
19.39				3.648					
19.52				3.420					
19.64				3.591					
19.77				3.648					
19.89				3.534					
20.02				3.648					
20.14				3.477					
20.27				3.534					
20.39				3.591					
20.52				3.363					
20.64				3.420					
20.77				3.534					
20.89				3.363					
21.02				3.249					
21.14				3.363					
21.27				3.306					
21.39				3.249					
21.52				3.249					
21.64				3.306					
21.77				3.135					
21.89				3.192					
22.02				3.249					
22.14				3.078					
22.27				3.021					
22.39				3.021					
22.52				3.021					
22.64				2.907					
22.77				3.021					
22.89				2.793					
23.02				2.793					
23.14				2.964					
23.27				2.850					
23.39				2.793					
23.52				2.736					
23.64				2.850					
23.77				2.793					
23.89				2.793					
24.02				2.736					
24.14				2.679					
24.27				2.736					
24.39				2.736					
24.52				2.793					
24.64				2.622					
24.77				2.679					
24.89				2.451					
25.02				2.451					
25.14				2.622					
25.27				2.508					
25.39				2.508					
25.52				2.508					
25.65				2.451					
25.77				2.451					
25.90				2.394					
26.02				2.394					
26.15				2.451					
26.27				2.337					
26.40				2.223					
26.52				2.337					
26.65				2.394					
26.77				2.280					
26.90				2.280					
27.02				2.223					
27.15				2.223					
27.27				2.337					
27.40				2.337					
27.52				2.337					
27.65				2.280					
27.77				2.280					
27.90				2.109					
28.02				2.223					
28.15				2.109					
28.27				2.166					
28.40				2.052					
28.52				2.109					
28.65				2.052					
28.77				2.166					
28.90				2.280					
29.02				2.109					
29.15				2.223					
29.27				2.109					
29.40				2.166					
29.52				1.995					
29.65				2.109					
29.77				2.052					
29.90				2.052					
30.02				1.995					
30.15				1.938					
30.27				2.166					
30.40				1.995					
30.52				1.995					
30.65				1.995					
30.77				2.109					
30.90				2.052					
31.02				2.109					
31.15				1.995					
31.27				2.052					
31.40				1.938					
31.52				1.995					
31.65				1.938					
31.77				2.052					
31.90				1.995					
32.03				1.938					
32.15				1.995					
32.28				2.052					
32.40				1.938					
32.53				1.824					
32.65				1.995					
32.78				2.052					
32.90				1.995					
33.03				1.938					
33.15				1.938					
33.28				1.938					
33.40				1.938					
33.53				1.995					
33.65				1.938					
33.78				2.052					
33.90				1.995					
34.03				1.824					
34.15				1.995					
34.28				1.881					
34.40				1.938					
34.53				1.938					
34.65				1.881					
34.78				1.710					
34.90				1.767					
35.03				1.824					
35.15				1.881					
35.28				1.938					
35.40				1.710					
35.53				1.881					
35.65				1.881					
35.78				1.881					
35.90				1.767					
36.03				1.824					
36.15				1.824					
36.28				1.881					
36.40				1.881					
36.53				1.767					
36.65				1.653					
36.78				1.881					
36.90				1.881					
37.03				1.881					
37.15				1.995					
37.28				1.938					
37.40				1.881					
37.53				1.938					
37.65				1.938					
37.78				1.995					
37.90				1.938					
38.03				1.938					
38.15				1.995					
38.28				1.938					
38.41				1.995					
38.53				2.109					
38.66				2.166					
38.78				2.166					
38.91				2.109					
39.03				2.223					
39.16				2.223					
39.28				2.052					
39.41				2.223					
39.53				2.223					
39.66				2.223					
39.78				2.451					
39.91				2.451					
40.03				2.508					
40.16				2.565					
40.28				2.451					
40.41				2.565					
40.53				2.451					
40.66				2.508					
40.78				2.622					
40.91				2.622					
41.03				2.736					
41.16				2.736					
41.28				2.736					
41.41				2.622					
41.53				2.850					
41.66				2.793					
41.78				2.850					
41.91				2.793					
42.03				2.850					
42.16				2.850					
42.28				2.622					
42.41				2.622					
42.53				2.736					
42.66				2.736					
42.78				2.679					
42.91				2.565					
43.03				2.565					
43.16				2.451					
43.28				2.565					
43.41				2.565					
43.53				2.508					
43.66				2.451					
43.78				2.508					
43.91				2.337					
44.03				2.565					
44.16				2.394					
44.28				2.451					
44.41				2.565					
44.53				2.451					
44.66				2.508					
44.78				2.508					
44.91				2.451					
45.04				2.451					
45.16				2.565					
45.29				2.508					
45.41				2.622					
45.54				2.622					
45.66				2.679					
45.79				2.565					
45.91				2.565					
46.04				2.565					
46.16				2.451					
46.29				2.451					
46.41				2.337					
46.54				2.280					
46.66				2.166					
46.79				2.166					
46.91				2.223					
47.04				1.881					
47.16				1.938					
47.29				1.767					
47.41				1.653					
47.54				1.539					
47.66				1.653					
47.79				1.653					
47.91				1.653					
48.04				1.539					
48.16				1.425					
48.29				1.368					
48.41				1.311					
48.54				1.254					
48.66				1.197					
48.79				1.311					
48.91				1.197					
49.04				1.197					
49.16				1.197					
49.29				1.197					
49.41				1.197					
49.54				1.197					
49.66				1.026					
